dialogue_id,speaker,text,cutsceneResorcePath,bgmResorcePath,choiceResorcePath,
5000,모노,...몸이 흔들려.,Cutscenes/cutsceen1,,,
5001,모노,익숙한 냄새... <size=120%>주인의 차</size> 안인 것 같아.,Cutscenes/cutsceen1,,,
5002,모노,어디로 가는 걸까. 병원? 아니면... <size=120%>공원</size>??,Cutscenes/cutsceen2,,,
5003,모노,...눈꺼풀이 아직까지 무거워. <size=90%>달콤한 냄새... 주인의 냄새...</size> <size=80%>다시</size> <size=70%>잠이 와...</size>, Cutscenes/cutsceen2,,,
5004,모노,...주인? 어디에 있지?,,,,
5005,모노,<size=140%>윽...!!</size> 기억이 나질 않아...,,,,
5006,모노,냄새를 찾아야 해. 주인의 냄새를… 잠깐. 냄새가... <size=120%>사라졌어</size>.,,,,
5007,모노,바람에 흩어진 건가? <size=80%>아니면...</size>,,,,
5008,모노,...아니야. <size=140%><color=#FF3B3B>돌아가야만 해!</color></size> 무슨 일이 있어도... 주인한테...,,,,
5009,모노,길 앞에 고양이들이 있네. 지나가야하는데 길을 막고 있잖아...,,,,
5010,송곳니,킁킁. 이게 무슨 냄새야? <color=#FF3B3B>기분 나쁜 냄새</color>가 나다냥.,,,,
5011,송곳니,여긴 우리 구역이다냥. 꼬마 강아지 당장 꺼져라냥.,,,,
5012,모노,...길 좀 비켜주면 좋겠는데. 싸울 생각은 없어.,,,,
5013,송곳니,생각이 있고 없고는 <size=140%><color=#FF3B3B>우리가 정하는 거다냥!</color></size>,Cutscenes/cutseen3,,,
5014,송곳니,쳇... <size=140%><color=#FF3B3B>두고 보자냥!!</color></size>,,,,
5015,모노,이제 어떡하지?,,,,
5016,모노,…빛? 저곳에 집들 이 보이는 거 같아.,,,,
5017,모노,저기라면… <size=120%>주인이 있을지도 몰라.</size>,,,,
5018,모노,일단 한 번 들어가볼까?,,,,
5019,모노,내가 있던 곳과는 다른 거 같아...,,,,
5020,모노,이곳에는 찝찝한 냄새가 안나...오히려 <size=120%>자연적인 냄새</size>가 나는 거 같아.,,,,
5021,모노,모든 게… 낯설어. 주인은 이런 곳에 온 적이 없는데. 내가 길을 잘못 든 걸까?,,,,
5022,모노,우선 좀 더 돌아다녀 보자.,,,, 
5023,바우,뉘슈? 감히 우리 집에 친입하다니 배짱이 두둑하구만잉.,Cutscenes/cutsceen4_1,,,
5024,바우,잉? 이 동네 개는 아닌 것 같고만유,,,,
5025,모노,…길을 잃었어. 주인이 있는 곳을 찾고 있는데,,,,
5026,바우,너희 주인? 여기에서 사는 거유?,,,,
5027,모노,"아니, 좀 더 <size=120%>높은 집들</size>이 많이 있는 곳이야",,,,
